Unnamed: 0,text,labels,journal,auteurs,date,titre,annee,nbmots,auteurs2,decennie
313,"Content protected by copyright, removed from the public repo","[[0, 250, 'Other'], [251, 571, 'Policy'], [572, 730, 'Politics'], [733, 872, 'Politics'], [873, 937, 'Politics'], [938, 1031, 'Politics'], [1033, 1277, 'Politics'], [1278, 1358, 'Policy'], [1361, 1414, 'Other'], [1415, 1490, 'Policy'], [1491, 1578, 'Politics'], [1579, 1693, 'Policy'], [1694, 1736, 'Other'], [1737, 1883, 'Other'], [1886, 1988, 'Politics'], [1989, 2055, 'Other'], [2056, 2133, 'Politics']]", Le Monde   ,RÉMY ROURE.,  vendredi 12 avril 1946 247 mots ,L'EXPÉRIENCE,1946,247,remy roure,40
330,"Content protected by copyright, removed from the public repo","[[0, 173, 'Policy'], [174, 287, 'Policy'], [288, 328, 'Other'], [329, 469, 'Politics'], [470, 501, 'Other'], [502, 624, 'Policy'], [625, 698, 'Other'], [699, 732, 'Other'], [733, 796, 'Politics'], [797, 827, 'Politics'], [830, 870, 'Politics'], [873, 1013, 'Policy'], [1014, 1125, 'Other'], [1126, 1187, 'Politics'], [1188, 1201, 'Other'], [1202, 1403, 'Policy'], [1404, 1494, 'Politics'], [1495, 1593, 'Politics'], [1594, 1648, 'Politics'], [1649, 1722, 'Politics'], [1723, 1767, 'Politics'], [1768, 1890, 'Policy'], [1892, 2037, 'Politics'], [2038, 2167, 'Politics'], [2168, 2303, 'Politics'], [2304, 2342, 'Policy'], [2343, 2592, 'Policy'], [2595, 2649, 'Policy'], [2650, 2678, 'Other'], [2679, 2772, 'Politics'], [2773, 3054, 'Policy'], [3055, 3493, 'Policy'], [3494, 3515, 'Other'], [3516, 3596, 'Policy'], [3597, 3630, 'Other'], [3631, 3717, 'Other'], [3718, 3746, 'Other'], [3747, 3835, 'Other'], [3836, 3940, 'Other']]", Le Monde   ,Rémy ROURE.,  samedi 17 avril 1948 452 mots ,""" LA GRANDE ESPÉRANCE """,1948,452,remy roure,40
369,"Content protected by copyright, removed from the public repo","[[0, 141, 'Other'], [142, 234, 'Other'], [235, 386, 'Other'], [389, 581, 'Policy'], [582, 636, 'Other'], [637, 791, 'Policy'], [793, 1039, 'Policy'], [1040, 1263, 'Policy'], [1264, 1317, 'Other'], [1318, 1421, 'Policy'], [1422, 1616, 'Policy'], [1619, 1720, 'Policy'], [1721, 1874, 'Policy'], [1875, 1984, 'Politics'], [1985, 2130, 'Policy'], [2131, 2327, 'Policy'], [2328, 2425, 'Politics'], [2426, 2621, 'Policy'], [2622, 2718, 'Other']]", Le Monde   ,RÉMY ROURE.,  vendredi 22 février 1946 337 mots ,Retour au bon sens,1946,337,remy roure,40
388,"Content protected by copyright, removed from the public repo","[[0, 187, 'Politics'], [190, 342, 'Politics'], [343, 421, 'Politics'], [422, 575, 'Policy'], [577, 719, 'Politics'], [720, 888, 'Politics'], [891, 1181, 'Politics'], [1184, 1340, 'Policy'], [1341, 1371, 'Politics'], [1372, 1405, 'Politics'], [1406, 1509, 'Politics'], [1510, 1749, 'Policy'], [1752, 1858, 'Politics'], [1859, 2131, 'Policy'], [2132, 2238, 'Politics'], [2239, 2390, 'Politics'], [2393, 2402, 'Politics'], [2403, 2487, 'Politics'], [2490, 2699, 'Politics'], [2700, 2770, 'Politics'], [2771, 2902, 'Policy'], [2903, 2948, 'Policy'], [2949, 3040, 'Policy'], [3041, 3146, 'Policy'], [3147, 3219, 'Policy'], [3222, 3236, 'Politics'], [3237, 3363, 'Policy'], [3364, 3486, 'Policy'], [3489, 3586, 'Policy'], [3587, 3802, 'Policy'], [3803, 3990, 'Policy'], [3993, 4062, 'Policy'], [4063, 4169, 'Policy'], [4170, 4339, 'Policy'], [4342, 4695, 'Policy'], [4696, 4743, 'Politics'], [4744, 4800, 'Politics'], [4801, 4825, 'Other'], [4826, 5000, 'Policy']]", Le Monde   ,JACQUES FAUVET.,  samedi 27 avril 1946 569 mots ,LE PREMIER CONGRÈS NATIONAL du parti républicain de la liberté,1946,569,jacques fauvet,40
427,"Content protected by copyright, removed from the public repo","[[0, 298, 'Policy'], [299, 468, 'Politics'], [469, 493, 'Other'], [494, 560, 'Policy'], [561, 573, 'Other'], [574, 627, 'Politics'], [628, 783, 'Politics'], [784, 919, 'Politics'], [920, 1060, 'Politics'], [1062, 1136, 'Politics'], [1137, 1148, 'Other'], [1149, 1204, 'Other'], [1205, 1396, 'Politics'], [1397, 1528, 'Politics'], [1529, 1705, 'Politics'], [1706, 1959, 'Policy'], [1960, 2058, 'Politics'], [2059, 2173, 'Politics'], [2174, 2307, 'Politics'], [2308, 2464, 'Policy'], [2467, 2551, 'Politics'], [2552, 2598, 'Other'], [2599, 2628, 'Other']]", Le Monde   ,RÉMY ROURE,  lundi 20 janvier 1947 303 mots ,PREMIER ESSAI,1947,303,remy roure,40
450,"Content protected by copyright, removed from the public repo","[[0, 81, 'Other'], [82, 120, 'Other'], [121, 170, 'Other'], [171, 298, 'Politics'], [299, 326, 'Other'], [327, 401, 'Policy'], [402, 572, 'Policy'], [573, 672, 'Policy'], [675, 756, 'Policy'], [757, 878, 'Policy'], [879, 1192, 'Policy'], [1193, 1308, 'Policy'], [1309, 1364, 'Policy'], [1365, 1460, 'Politics'], [1462, 1516, 'Politics'], [1517, 1683, 'Other'], [1684, 1761, 'Politics'], [1764, 1817, 'Policy'], [1818, 1864, 'Politics'], [1865, 1887, 'Other'], [1888, 2091, 'Politics'], [2092, 2255, 'Policy'], [2256, 2331, 'Policy'], [2332, 2448, 'Politics'], [2451, 2715, 'Politics'], [2716, 2885, 'Politics'], [2886, 3044, 'Politics'], [3045, 3085, 'Politics'], [3086, 3131, 'Policy']]", Le Monde   ,Rémy ROURE.,  mercredi 24 mars 1948 357 mots ,VIOLENCES CONCERTÉES,1948,357,remy roure,40
479,"Content protected by copyright, removed from the public repo","[[0, 162, 'Policy'], [163, 384, 'Policy'], [385, 507, 'Policy'], [508, 719, 'Policy'], [720, 913, 'Policy'], [914, 1049, 'Policy'], [1050, 1225, 'Policy'], [1226, 1343, 'Politics'], [1345, 1430, 'Policy'], [1431, 1553, 'Politics'], [1554, 1697, 'Policy'], [1700, 1874, 'Politics'], [1875, 1911, 'Policy'], [1912, 1989, 'Policy'], [1990, 2059, 'Policy'], [2060, 2140, 'Politics'], [2141, 2311, 'Policy'], [2312, 2449, 'Policy']]", Le Monde   ,- Rémy Roure.,  mercredi 7 novembre 1945 298 mots ,"La "" grande nation """,1945,298,  remy roure,40
497,"Content protected by copyright, removed from the public repo","[[0, 112, 'Politics'], [113, 198, 'Politics'], [199, 216, 'Politics'], [217, 244, 'Politics'], [245, 322, 'Politics'], [323, 421, 'Politics'], [422, 485, 'Other'], [488, 572, 'Politics'], [573, 751, 'Policy'], [752, 1118, 'Policy'], [1120, 1236, 'Politics'], [1237, 1389, 'Politics'], [1392, 1506, 'Politics'], [1507, 1567, 'Politics'], [1568, 1686, 'Policy'], [1687, 1752, 'Politics'], [1753, 1776, 'Other'], [1779, 1820, 'Politics'], [1821, 1943, 'Politics'], [1944, 2111, 'Politics'], [2112, 2236, 'Politics'], [2237, 2272, 'Other'], [2275, 2507, 'Politics'], [2508, 2659, 'Politics'], [2660, 2800, 'Politics']]", Le Monde   ,RÉMY ROURE,  jeudi 6 juin 1946 319 mots ,TRIPARTISME ÉLARGI,1946,319,remy roure,40
522,"Content protected by copyright, removed from the public repo","[[0, 99, 'Politics'], [102, 121, 'Other'], [122, 211, 'Policy'], [212, 381, 'Policy'], [382, 586, 'Policy'], [589, 687, 'Politics'], [688, 963, 'Policy'], [965, 984, 'Policy'], [985, 1102, 'Policy'], [1103, 1380, 'Policy'], [1383, 1679, 'Politics'], [1680, 1877, 'Politics'], [1880, 1956, 'Politics'], [1957, 2140, 'Policy'], [2143, 2270, 'Politics'], [2271, 2337, 'Policy'], [2338, 2416, 'Politics'], [2417, 2661, 'Politics'], [2662, 2758, 'Policy'], [2759, 2838, 'Policy'], [2841, 2925, 'Politics'], [2926, 2938, 'Other'], [2939, 3136, 'Policy'], [3137, 3189, 'Politics'], [3192, 3367, 'Politics'], [3368, 3491, 'Politics'], [3494, 3822, 'Policy'], [3823, 3970, 'Politics'], [3971, 4043, 'Policy'], [4044, 4297, 'Politics'], [4300, 4404, 'Policy'], [4405, 4733, 'Policy'], [4734, 4833, 'Policy'], [4834, 4930, 'Politics']]", Le Monde   ,RAYMOND MILLET.,  mardi 23 octobre 1945 570 mots ,DU REFERENDUM A LA CONSTITUTION,1945,570,raymond millet,40
556,"Content protected by copyright, removed from the public repo","[[0, 81, 'Policy'], [82, 201, 'Other'], [202, 365, 'Politics'], [366, 584, 'Other'], [585, 691, 'Politics'], [692, 882, 'Other'], [884, 1042, 'Policy'], [1043, 1203, 'Policy'], [1204, 1251, 'Other'], [1252, 1338, 'Other'], [1339, 1581, 'Policy'], [1584, 1723, 'Other'], [1724, 1804, 'Policy'], [1805, 1954, 'Policy'], [1955, 2117, 'Policy'], [2118, 2219, 'Other'], [2222, 2269, 'Other'], [2270, 2547, 'Other'], [2548, 2694, 'Other'], [2695, 2858, 'Policy'], [2861, 2924, 'Politics'], [2925, 2990, 'Politics'], [2991, 3282, 'Other'], [3283, 3569, 'Politics'], [3570, 3632, 'Other']]", Le Monde   ,REMY ROURE.,  lundi 28 juillet 1947 434 mots ,UN ANNIVERSAIRE,1947,434,remy roure,40
581,"Content protected by copyright, removed from the public repo","[[0, 52, 'Policy'], [53, 267, 'Other'], [268, 579, 'Policy'], [580, 618, 'Policy'], [619, 747, 'Policy'], [748, 933, 'Policy'], [935, 967, 'Other'], [968, 1072, 'Politics'], [1073, 1332, 'Policy'], [1333, 1443, 'Policy'], [1444, 1619, 'Policy'], [1622, 1867, 'Policy'], [1868, 2091, 'Policy'], [2092, 2160, 'Politics'], [2161, 2353, 'Policy'], [2354, 2577, 'Policy'], [2578, 2707, 'Other'], [2708, 2744, 'Policy'], [2745, 2778, 'Policy'], [2779, 2987, 'Policy'], [2988, 3029, 'Policy'], [3030, 3133, 'Policy'], [3134, 3181, 'Policy'], [3184, 3461, 'Policy'], [3462, 3618, 'Policy'], [3619, 3741, 'Policy']]", Le Monde   ,Rémy ROURE.,  mardi 28 décembre 1948 444 mots ,L'OBSTACLE,1948,444,remy roure,40
607,"Content protected by copyright, removed from the public repo","[[0, 166, 'Policy'], [167, 255, 'Other'], [256, 417, 'Other'], [418, 602, 'Policy'], [603, 716, 'Other'], [717, 927, 'Other'], [928, 1069, 'Policy'], [1070, 1171, 'Other'], [1173, 1234, 'Policy'], [1235, 1357, 'Policy'], [1358, 1588, 'Policy'], [1589, 1785, 'Other'], [1786, 1855, 'Policy'], [1856, 1989, 'Politics'], [1990, 2235, 'Policy'], [2236, 2368, 'Politics'], [2369, 2813, 'Policy'], [2814, 3047, 'Policy']]", Le Monde   ,Rémy ROURE.,  lundi 10 mai 1948 367 mots ,LA VRAIE LIBÉRATION,1948,367,remy roure,40
625,"Content protected by copyright, removed from the public repo","[[0, 137, 'Other'], [138, 186, 'Other'], [187, 243, 'Other'], [244, 327, 'Other'], [328, 461, 'Other'], [462, 593, 'Other'], [596, 621, 'Politics'], [622, 646, 'Other'], [647, 864, 'Policy'], [865, 1021, 'Policy'], [1022, 1137, 'Politics'], [1138, 1210, 'Politics'], [1212, 1405, 'Policy'], [1406, 1574, 'Policy'], [1575, 1717, 'Politics'], [1718, 2047, 'Policy'], [2048, 2108, 'Politics'], [2109, 2122, 'Other'], [2123, 2320, 'Policy'], [2323, 2446, 'Policy'], [2447, 2561, 'Policy'], [2562, 2682, 'Policy'], [2683, 2840, 'Politics'], [2843, 2876, 'Other'], [2877, 3442, 'Policy'], [3443, 3498, 'Politics'], [3499, 3723, 'Politics'], [3724, 3927, 'Policy'], [3928, 4242, 'Policy'], [4245, 4526, 'Policy'], [4527, 4668, 'Policy'], [4669, 4706, 'Other'], [4707, 4832, 'Policy'], [4833, 5003, 'Policy'], [5006, 5622, 'Policy'], [5623, 5899, 'Policy'], [5902, 5954, 'Other'], [5957, 6059, 'Policy'], [6060, 6072, 'Other'], [6075, 6117, 'Other'], [6120, 6158, 'Other'], [6161, 6189, 'Other'], [6190, 6203, 'Other'], [6206, 6252, 'Other'], [6255, 6304, 'Other'], [6307, 6325, 'Other'], [6328, 6372, 'Other']]", Le Monde   ,Rémy ROURE.,  jeudi 8 avril 1948 728 mots ,Controverses politiques,1948,728,remy roure,40
672,"Content protected by copyright, removed from the public repo","[[0, 17, 'Other'], [18, 122, 'Policy'], [123, 247, 'Policy'], [248, 288, 'Other'], [289, 416, 'Politics'], [417, 492, 'Policy'], [493, 553, 'Politics'], [556, 635, 'Policy'], [636, 820, 'Policy'], [821, 952, 'Politics'], [954, 1020, 'Policy'], [1021, 1263, 'Policy'], [1264, 1469, 'Policy'], [1470, 1688, 'Policy'], [1689, 1935, 'Policy'], [1938, 2120, 'Policy'], [2121, 2199, 'Policy'], [2200, 2224, 'Other'], [2225, 2340, 'Policy'], [2341, 2413, 'Politics'], [2416, 2481, 'Politics'], [2482, 2657, 'Policy'], [2658, 2713, 'Policy'], [2714, 2795, 'Other'], [2796, 2848, 'Other'], [2849, 2917, 'Policy'], [2918, 3064, 'Policy'], [3065, 3153, 'Politics'], [3154, 3274, 'Politics'], [3275, 3446, 'Policy'], [3447, 3562, 'Politics'], [3565, 3597, 'Other'], [3598, 3704, 'Politics'], [3705, 3764, 'Politics'], [3765, 3837, 'Policy'], [3838, 3842, 'Other'], [3843, 3858, 'Other'], [3859, 3909, 'Policy'], [3910, 4071, 'Politics'], [4072, 4150, 'Policy'], [4151, 4255, 'Politics'], [4256, 4415, 'Politics'], [4416, 4447, 'Politics'], [4448, 4707, 'Policy'], [4708, 4737, 'Politics']]", Le Monde   ,RÉMY ROURE.,  jeudi 25 novembre 1948 558 mots ,LA CONFUSION,1948,558,remy roure,40
717,"Content protected by copyright, removed from the public repo","[[0, 178, 'Policy'], [179, 375, 'Politics'], [376, 419, 'Other'], [420, 561, 'Politics'], [562, 650, 'Policy'], [651, 688, 'Policy'], [689, 763, 'Politics'], [764, 880, 'Policy'], [883, 1042, 'Policy'], [1043, 1100, 'Politics'], [1101, 1246, 'Politics'], [1247, 1463, 'Politics'], [1464, 1611, 'Politics'], [1612, 1640, 'Other'], [1641, 1720, 'Politics'], [1721, 1926, 'Politics'], [1928, 2089, 'Policy'], [2090, 2191, 'Politics'], [2192, 2233, 'Other'], [2234, 2435, 'Politics'], [2436, 2481, 'Other'], [2482, 2683, 'Policy'], [2684, 2764, 'Politics'], [2767, 2897, 'Politics'], [2898, 3074, 'Politics'], [3075, 3176, 'Politics'], [3177, 3209, 'Politics'], [3210, 3512, 'Policy'], [3513, 3570, 'Politics'], [3571, 3657, 'Other'], [3658, 3871, 'Politics']]", Le Monde   ,Rémy ROURE.,  mardi 22 novembre 1949 450 mots ,LES HUSSARDS DE LA GARDE,1949,450,remy roure,40
748,"Content protected by copyright, removed from the public repo","[[0, 53, 'Policy'], [54, 121, 'Politics'], [122, 151, 'Other'], [152, 224, 'Other'], [225, 271, 'Other'], [272, 343, 'Other'], [344, 447, 'Other'], [448, 631, 'Policy'], [632, 679, 'Other'], [680, 730, 'Other'], [731, 910, 'Other'], [911, 1025, 'Other'], [1026, 1063, 'Other'], [1064, 1169, 'Politics'], [1170, 1502, 'Other'], [1503, 1587, 'Other'], [1588, 1773, 'Other'], [1775, 1787, 'Other'], [1788, 1889, 'Politics'], [1890, 2081, 'Other'], [2082, 2306, 'Policy'], [2309, 2416, 'Other'], [2417, 2591, 'Other'], [2592, 2719, 'Other'], [2722, 2890, 'Politics'], [2891, 2922, 'Other'], [2923, 3019, 'Policy'], [3020, 3401, 'Politics'], [3404, 3523, 'Policy'], [3524, 3613, 'Other'], [3614, 3770, 'Other'], [3771, 3836, 'Other'], [3837, 4005, 'Policy'], [4006, 4032, 'Other'], [4033, 4086, 'Politics'], [4087, 4580, 'Policy'], [4581, 4723, 'Policy'], [4726, 4774, 'Other'], [4775, 5519, 'Policy'], [5520, 5597, 'Other'], [5598, 5790, 'Policy'], [5793, 5890, 'Politics'], [5891, 5941, 'Politics'], [5942, 6039, 'Politics'], [6040, 6361, 'Other'], [6364, 6387, 'Other'], [6390, 6496, 'Policy'], [6499, 6522, 'Other'], [6525, 6551, 'Other'], [6554, 6588, 'Other'], [6591, 6621, 'Other']]", Le Monde   ,Rémy ROURE,  vendredi 26 mars 1948 777 mots ,L'HOMME ET LA BÊTE,1948,777,remy roure,40
