id,text,meta,annotation_approver,labels
77104,"Parce qu ' on sait très bien qu ' il faut profiter de cet élan de changement pour engager rapidement des réformes. Les réformes institutionnelles , contrairement à ce que disent certains commentateurs , ce n ' est surtout pas celles qu ' il faut remettre à plus tard. Si on les reporte , on ne les fera pas. Or , si on y arrive , cela sera salué par les Français .",{},,[]
77105,"Pour l ' instant , les dirigeants du FN se plaignent de ne pas avoir en main un projet précis contre lequel riposter. Macron , s ' il dévoile son projet , on attaquera , assure M. Rachline. Le programme de Fillon était inconnu , et quand il l ' a présenté , il a chuté. Quand Macron va présenter son projet , ce sera pareil .",{},,[]
77106,"Pour certains élus expérimentés , cette maîtrise de la communication peut se révéler contre-productive. Plus vous verrouillez , plus les journalistes ont envie de rentrer , met ainsi en garde un parlementaire socialiste , qui juge paradoxal que Macron choisisse ce type de communication , à rebours de la modernité et de la transparence qu ' il entend incarner . En marche était un parti-entreprise , Macron tente d ' importer cette organisation à l ' Elysée , poursuit ce poids lourd de l ' ex majorité. Le problème , c ' est que ça fonctionne à la réussite .",{},,"[[173, 219, 'off'], [460, 503, 'off']]"
77107,"On aime bien ces sorties de la cuisse de Jupiter quand on a un certain âge. . . A cette thèse de l ' excès de tendresse , d ' autres préfèrent celle de l ' abus de faiblesse à l ' égard d ' un président en grande difficulté. Car chacun sait que François Hollande n ' a que peu d ' affect , et qu ' il n ' hésitera pas , si besoin , à trancher. Dans le vif .",{},,[]
77108,"On leur donne tout , commente François. C ' est un partage de la richesse qu ' on ne peut plus se permettre. On est bien loin de Calais , ville épicentre du tremblement de terre FN. Plus on se rapproche de la jungle des migrants , plus les scores de Marine Le Pen montent en flèche .",{},,[]
77109,"Après avoir rassuré la recherche , il s ' agit maintenant de trouver des économies. Bercy , après avoir pris connaissance de la décision de M. Hollande , se refusait à tout commentaire. En privé , cependant , certains conseillers ne cachaient pas leur amertume. C ' est une situation un peu particulière , quand même , reconnaissait l ' un d ' entre eux , avouant que ça ne passe pas .",{},,"[[209, 260, 'off'], [319, 354, 'off']]"
77110,On sera pour ou contre. Je n ' admettrai pas qu ' on soit neutre. Il est pourtant reparti avec la certitude qu ' il sera au moins prévenu lorsque l ' enquêteur remettra sa copie à Durand. Beaucoup de liens unissent en effet le patron de Fayard et celui du Monde .,{},,[]
77111,"Hamon peut devenir président de la République , renchérit un proche du président. Alors que la gauche semblait inévitablement éliminée en avril prochain , la possibilité d ' une qualification au second tour semble de nouveau possible. On regarde ce qu ' il se passe avec des yeux ronds comme des soucoupes ! , confie un député PS , qui n ' en revient pas. Le premier secrétaire Jean-Christophe Cambadélis n ' est pas loin de penser de même .",{},,"[[48, 80, 'off'], [310, 329, 'off']]"
77112,"La gauche , en 2011 , a sorti quelqu ' un qui n ' était pas compétent. Nous , on va faire beaucoup mieux ! Si les équipes de campagne des candidats s ' arrangent pour les rendre particulièrement visibles , les jeunes ne constituent pas les bataillons les plus importants d ' électeurs susceptibles de voter les 20 et 27 novembre. Loin s ' en faut .",{},,[]
77113,Et il y en a un aujourd ' hui qui fait les ­efforts. Il faut aller jusqu ' au bout. Nous devons accompagner et aider. Est-ce que ça doit déboucher ensuite sur la question du poids de cette dette ?,{},,[]
77114,"C ' est un message de colère , de rupture , glisse-t-il à ses conseillers. Il a eu les battus au téléphone. Ceux de proches et de ministres , qui le pressent de changer. L ' équipe remaniée était déjà acquise .",{},,"[[44, 73, 'off']]"
77115,"Il devait renvoyer , dans la matinée de mardi , une liste de réformes qu ' il s ' engagerait à mettre en place en échange des prêts. Mais Bruxelles et surtout Berlin rappellent que la négociation d ' un troisième plan est un processus complexe. Et surtout , que la liste des réformes devrait être conséquente. Plus que celle qui était négociée jusqu ' à fin juin , argue une source européenne .",{},,"[[364, 392, 'off']]"
77116,"Comme si le rythme du président normal avait peu à peu rattrapé celui de l ' hyperprésident . Au MAC/VAL , le chef de l ' Etat slalome entre les maquettes des gares de demain , s ' enquiert des délais de construction. 2022 ? Il hoche la tête devant cet horizon lointain qui n ' est pour l ' instant pas le sien .",{},,[]
77117,"Il y a une tension quand même entre l ' Elysée et Matignon sur la manière de faire cette loi. On ne réforme pas bien un pays avec des tensions. On réforme un pays avec détermination , avec imagination , on réforme un pays en secouant les tabous , on réforme un pays en secouant les lobbys de toute nature , en secouant les conservatismes , et , ensuite , même si ça dérange , on se met autour de la table et on essaie de construire ensemble une vérité , un équilibre dans l ' intérêt général du pays. Je souhaite que ce soit la même chose sur ce projet de loi .",{},,[]
77118,"A la charcuterie du village , alors qu ' une annonce indique que le magasin recherche un ouvrier-boucher-charcutier , un journaliste demande en blaguant à M. Fillon s ' il postule. Non car il faut être compétent pour ce poste , rétorque ce dernier. Et président vous êtes compétent ? , le relance-t-on. Réponse amusée du prétendant à l ' Elysée : J ' espère !",{},,[]
77119,"C ' est le maire ou le président de l ' intercommunalité qui a compétence pour établir la liste des terrains constructibles susceptibles de supporter la majoration. Les recettes sont au bénéfice des communes et non de l ' Etat. En cas d ' inscription erronée sur la liste des terrains constructibles , les contribuables peuvent exiger un dégrèvement de la majoration qui leur a été indûment réclamée. Quant à ceux qui décideraient de vendre leur terrain plutôt que d ' avoir à s ' acquitter de cette surtaxe , ils peuvent bénéficier d ' un abattement exceptionnel de 30 % sur les prélèvements sociaux et l ' impôt sur le revenu .",{},,[]
77120,"Macron a tué le match Des deux côtés , on semble désormais soucieux de calmer le jeu. M. Hollande a été mis en garde par ses proches : Tu vas encore dégrader ton image , lui a glissé l ' un d ' eux. Il faut éviter d ' alimenter cette chronique , insiste l ' ancien député PS hollandais ­Sébastien Denaja. Mais , en privé , les proches d ' Emmanuel Macron se réjouiraient presque des piques de son prédécesseur , certains qu ' elles sont bénéfiques au nouveau ­président par effet de comparaison .",{},,"[[170, 197, 'off']]"
77121,"Un participant lâche une remarque , mais n ' est pas vraiment entendu : Je ne pense pas qu ' on aura des questions sur le CICE pendant la campagne . Mais sur l ' euro , ce sera toujours les mêmes. Stratégie étatiste Le sujet a cristallisé pendant des mois les tensions au FN sur son programme économique , qui restent plus que jamais d ' actualité. Faut-il sortir de la monnaie unique , au risque d ' effrayer les retraités ?",{},,"[[0, 33, 'off']]"
77122,"Il a fait à peu près tout , il connaît tout et notamment leur roublardise. Les élus parlent beaucoup , font beaucoup parler d ' eux , ça a un effet global sur l ' opinion. D ' autant plus dans les zones rurales , où plus les communes sont petites , plus la parole des élus a un effet sur la population. Il faut les gérer .",{},,[]
77123,"Quelques minutes plus tard , au conseil des ministres , l ' ambiance est très grave , se souvient Thierry Mandon , le secrétaire d ' Etat à l ' enseignement supérieur. Les membres du gouvernement , comme chaque Français ce soir-là , ont appelé leurs proches et leurs enfants dès qu ' ils ont appris le drame. Pour prendre des nouvelles , s ' assurer qu ' aucun d ' entre eux n ' était dans les lieux visés. A ce moment-là , on ne sait pas exactement combien il y a de terroristes , ni si certains sont toujours dans la nature. Alors , on parle peu et on écoute le président , le premier ministre et le ministre de l ' intérieur .",{},,[]
77124,"C ' est violent mais c ' est la campagne. On lèche , on lâche , on lynche Ces premières difficultés , relatives à l ' identité politique encore mal définie d ' un candidat très neuf sur la scène politique , sèment néanmoins le doute chez un certain nombre d ' élus PS , qui ne peuvent se résoudre à soutenir M. Hamon et envisageaient de rejoindre M. Macron. Tout cela n ' est pas très pro , soupire l ' un d ' eux. A ce niveau-là , exposé comme il est , il ne devrait plus improviser sur scène .",{},,"[[391, 413, 'off']]"
77125,"Les dégâts ont d ' ailleurs été immédiats. Il y a peu , beaucoup , dans son camp , admettaient bon gré mal gré qu ' il brigue un second mandat ; désormais , ils se posent la question de savoir si c ' est encore possible et souhaitable. De là à penser que ce livre serait une entreprise suicidaire , il n ' y a qu ' un pas souvent franchi ces derniers jours. A tort , nous semble-t-il .",{},,"[[56, 110, 'off']]"
77126,"Au final , on a un texte qui sort plus fort , estime M. Macron. Autre gros morceau qui a suscité de vifs débats : la réforme du permis de conduire. A l ' origine , le projet de loi envisageait une réforme relativement limitée déchargeant les inspecteurs de certaines épreuves du permis poids lourds. Ceci aurait instauré une réduction du délai moyen d ' attente entre deux présentations au permis à 90 jours .",{},,[]
77127,"D ' abord , l ' Elysée envoie pendant le week-end un communiqué pour clarifier la situation avec Valérie Trierweiler. Et puis , dimanche , un ministre influent lâche une info de poids sur le pacte de responsabilité. Une fuite sur les impôts par exemple. . . Une première piste qui va recentrer l ' attention sur le contenu politique de la conférence de presse de mardi .",{},,"[[139, 165, 'off']]"
77128,"Beaucoup de points ne nous plaisaient pas , mais on ne pouvait pas renvoyer l ' impression d ' un Sénat arc-bouté sur ses petits avantages. . . , analyse un élu LR , lucide. En témoigne la manière dont a été adoptée l ' interdiction des emplois familiaux pour les parlementaires. Dans une institution où 59 sénateurs emploient un membre de leur famille , le sujet était loin de faire l ' unanimité. Une partie d ' entre eux a estimé faire les frais de l ' affaire des emplois présumés fictifs de la famille de François Fillon , de manière injuste .",{},,"[[146, 163, 'off'], [399, 432, 'off']]"
77129,"Et ce dès sa première sortie , le 3 avril sur ses terres poitevines , où elle explique qu ' elle ambitionne de remettre à plat l ' écotaxe . Des propos sur les boules puantes et le mépris présumé de ses collègues ministres , publiés un peu plus tard dans Paris Match et démentis par l ' intéressée , renforceront ce sentiment d ' extraterritorialité ministérielle. Dans les couloirs de l ' exécutif , le cas Royal demeure de fait considéré comme un cas à part : Il faut qu ' on cale notre façon de travailler avec elle , euphémise un conseiller à Bercy. Il y a des choses que vous n ' empêcherez jamais Ségolène Royal de faire .",{},,"[[521, 552, 'off']]"
77130,"Se sont invités des femmes et des hommes qui n ' étaient plus intéressés par la politique. . . Ils m ' ont choisi parce que j ' ai mis sur la table un projet politique de long terme. On a dit que mes électeurs étaient surtout des jeunes actifs , pas seulement , mais il est sain que cette génération s ' invite à la table au moment où se décide son avenir ! Mais cette génération ne peut pas faire une majorité présidentielle .",{},,[]
77131,"Plus on s ' éloignera de l ' événement , plus ces sujets émergeront à nouveau , espère M. Fillon , avant de souffler : A condition qu ' il n ' y ait pas de nouveaux attentats. En attendant de voir l ' ambiance de l ' automne , le député de Paris continue sa campagne entamée un jour d ' avril 2013 , lorsqu ' il avait lâché lors d ' un voyage au Japon qu ' il serait candidat quoi qu ' il arrive en 2017 . En observant ses sondages stagner autour de 10 % , certains de ses adversaires font courir le bruit qu ' il renoncera. Lui , assure qu ' il ira jusqu ' au bout et se rassure en recomptant les élus qui le soutiennent .",{},,"[[457, 505, 'off']]"
77132,"Certains vont courir le matin pour se décrasser avant de partir au travail , Marine Le Pen et Florian Philippot , eux , pratiquaient le ping-pong mental. Tu as vu l ' interview d ' Untel hier soir ? Oui , il faudrait écrire un communiqué. Bon , on en discute tout à l ' heure au siège .",{},,[]
77133,"Même ses rivaux jugent que la mise en examen n ' est pas rédhibitoire pour son retour , estimant que l ' affaire des écoutes lui permet de se poser de nouveau en victime de l ' acharnement du pouvoir socialiste et des juges. Il va pouvoir prendre l ' opinion à témoin en dénonçant un procès politique , ce qui aura pour effet de ressouder un peu plus la base UMP autour de lui , prédit un de ses concurrents. Cela va le renforcer pour le congrès de l ' UMP mais cela le plombe pour la présidentielle auprès de l ' électorat centriste , fait valoir un autre. Les sarkozystes savent que l ' argument de l ' acharnement est un ressort puissant chez les militants , restés majoritairement sarko-nostalgiques .",{},,"[[379, 407, 'off'], [536, 556, 'off']]"
77134,"La presse locale est venue. Dans le village , ceux qui étaient FN étaient contents. Les autres ont cru que j ' étais FN , raconte-t-il. Tu as une certaine inculture politique , qui te sert , dit sa femme , assise à ses côtés .",{},,[]
77135,"Pourtant , on entend le contraire. . . Laissez-moi expliquer en quoi ils ne font pas le contraire. D ' abord , le texte proposé ne vise que les terroristes , et sous le contrôle du juge. Alors , depuis quelques semaines , on s ' agite .",{},,[]
77136,"Les intentions de vote dans les sondages restent alarmantes pour les socialistes - troisièmes derrière l ' UMP et le FN - , et l ' abstention risque une fois encore de battre des records et de pénaliser le pouvoir en place. Sur le terrain , plusieurs candidats ne cachent pas leurs inquiétudes. La colère des électeurs n ' est pas retombée depuis les municipales , ils identifient mal les enjeux , et nos militants commencent tout juste à se réveiller , après le coup de massue de mars , confie l ' un d ' entre eux , qui craint que tout ça finisse mal encore une fois . L ' objectif de Solférino témoigne d ' ailleurs de ses faibles ambitions .",{},,"[[488, 515, 'off']]"
77137,Etait-ce une erreur ? Le premier ministre a souhaité réaffirmer son autorité et clarifier définitivement sa ligne et son équipe : comment ne pas le comprendre ? Arnaud Montebourg était las de défendre des positions qui n ' étaient pas partagées et d ' avancer des propositions qui n ' étaient pas retenues : comment ne pas le comprendre ? Le résultat est néanmoins là : notre unité se fissure .,{},,[]
77138,"L ' inverse de ce qu ' il n ' a pas fait ? L ' inverse de ce que proposent les autres candidats à la primaire ? L ' inverse de quoi ? Alain Juppé , est-ce qu ' on l ' entend ?",{},,[]
77139,"De ce point de vue , les semaines qui viennent seront décisives : au-delà du dispositif de remplacement qu ' il proposera concernant le volet social du pacte , le gouvernement devra présenter un projet de budget pour 2015 susceptible d ' être accepté par une majorité de plus en plus remuante. A ce stade , l ' exécutif affiche une certaine sérénité. Les frondeurs , estime-t-on à l ' Elysée comme à Matignon , n ' oseront voter contre le budget , au risque de faire imploser la majorité et donc de provoquer une dissolution. L ' exécutif pointe en outre volontiers l ' absence , à la tête de ce groupe , d ' un véritable leadership .",{},,"[[367, 409, 'off']]"
77452,"Celui qui reçoit des décharges électriques tous les jours, ce qui finit par être indolore : c'est l'ancien monde.Et il y a un autre singe, celui qui n'en prend jamais.Alors, quand il en prend une, il meurt.»",{},,[]
77140,"A la faveur des scrutins municipaux du mois de mars , le FN a en effet envoyé plusieurs centaines de conseillers dans les communes de ces départements. Des élus qui constituent un socle pour le parti de Marine Le Pen. Cependant , le contingent frontiste ne suffira pas pour obtenir un ou plusieurs élus au Palais du Luxembourg. Il va falloir convaincre , aller chercher les voix une par une .",{},,[]
77141,"L ' exécutif n ' a pas souhaité courir ce risque , je peux le comprendre. Vous n ' en avez donc pas fini avec la fronde ? A mes yeux , il n ' y a que des députés socialistes. Pour le reste , ceux qui envisageaient de s ' abstenir sur ce texte le faisaient pour différentes raisons , qui dépassaient largement celles de ceux que vous appelez les frondeurs .",{},,[]
77142,"Il nous faut répondre à plusieurs questions essentielles : quelles idées la droite doit-elle ­défendre aujourd ' hui ? Comment envisage-t-on notre rôle d ' opposition ? Difficile de se dérober Pour le moment , M. Wauquiez ne considère pas ce débat comme un passage obligé , selon un de ses proches. Une réticence logique .",{},,"[[274, 297, 'off']]"
77143,"Sur le terrain , la ferveur militante s ' émousse. Au sommet , le mouvement souffre d ' un réel manque d ' incarnation. Pour preuve , aucun de ses dirigeants n ' est convié au petit déjeuner de la majorité , tous les mardis matin à Matignon autour du premier ministre , Edouard Philippe , ni à la discrète réunion des poids lourds de la Macronie qu ' organise fréquemment l ' Elysée le lundi soir. La feuille de route dictée par M. Macron est simple : Il veut quelqu ' un qui imprime et qui structure le parti pour préparer les futures élections européenneset municipales , résume un proche du président .",{},,"[[574, 603, 'off']]"
77144,"D ' autant que ses positions sur ces questions seraient connues de tous. Il faut quoi ? Qu ' on se mette une flamme sur le front ? Trouvez-moi quelqu ' un qui pense que le FN ne parle pas assez d ' immigration , avance M. Philippot .",{},,[]
77145,"L ' exercice , auquel le président rechignait avant de s ' y résoudre sur les conseils de son entourage , devait d ' abord marquer une date symbolique entre toutes , celle de l ' exact mi-mandat , et à cette occasion montrer un président sûr de son fait et de son cap. Il devait ensuite souligner une volonté , celle de présenter un chef de l ' Etat , impopulaire entre tous , sous son meilleur jour : empathique et proche , au contact des citoyens , capable d ' écoute et de réponses. Il devait enfin marquer un dessein pour les deux ans et demi qu ' il lui reste. De ces trois objectifs , hélas , seul le premier semblait rempli , au lendemain du passage de François Hollande jeudi 6 novembre sur TF1 .",{},,[]
77146,"Cela ne se présentait pas encore comme un projet de loi mais se voulait une réflexion globale sur les mutations technologiques et les indispensables transformations ­- sociales , financières , économiques , d ' usage - qu ' elles appellent. Ainsi jetait-il les bases de l ' esprit de #noé , comme son entourage a pris l ' habitude de le qualifier. Une sorte d ' Odyssée , expliquait le ministre , appelant experts et entrepreneurs à embarquer avec lui. Le calendrier , tel qu ' il le concevait , était arrêté : une première série de propositions mi-décembre , un deuxième point d ' étape début janvier et un projet de loi présenté fin janvier en conseil des ministres .",{},,"[[291, 346, 'off']]"
77147,"Emmanuel Macron a toujours fonctionné comme ça , il n ' aime pas que ses proches se répandent. Il pense que ça fragilise tout le monde , raconte l ' ancien député PS des Français de l ' étranger Arnaud Leroy , un pilier de la Macronie. Ils sont épuisés Le président a notamment passé des consignes à ses ministres , qui doivent éviter de parler aux journalistes dans la cour de l ' Elysée , en sortant du conseil des ministres , comme ce fut toujours l ' usage sous la Ve République. Ces derniers obéissent à la lettre , s ' engouffrant dans leur berline aux vitres teintées sans un regard à la presse .",{},,[]
77148,"Un trou d ' air qui s ' est transformé en bourrasque la semaine dernière , avec ses déclarations tranchées sur la colonisation et le mariage pour tous , qui ont déplu tantôt à la gauche , tantôt à la droite , alors que M. Macron dit vouloir rassemblerles deux camps. Dans l ' entourage de l ' ex-ministre de l ' économie , on reconnaît que la semaine dernière a été compliquée. Mais on dit aussi assumer. Macron veut parler à tout le monde car si vous antagonisez , vous restez le président de 25 % des Français et vous ne pouvez rien réformer .",{},,"[[267, 320, 'off']]"
77149,"Ça permet de garder une fraîcheur et une énergie pour s ' affranchir des lourdeurs du système , assure-t-il. Cela n ' a pas empêché les reproches de s ' accumuler. Ils n ' étaient pas préparés à gérer la ville , juge Olivier Noblecourt , conseiller municipal PS. Il y a un temps d ' adaptation légitime mais les choses doivent se préciser .",{},,[]
77150,"Car l ' UMP et le centre voient aujourd ' hui leur doctrine économique ( moins de charges sur les entreprises , moins de dépense publique , moins d ' impôts. . . ) reprise à son compte par la gauche. Mais le tournant est salué avec mesure dans l ' attente de résultats. , estime Yves Jégo , président par intérim de l ' UDI. Les discours et les orientations vont dans un sens qu ' on peut approuver. Mais ce qui compte , ce sont les actes Plusieurs membres de l ' opposition craignent que l ' action du nouveau ministre de l ' économie soit paralysée par l ' inertie supposée de M. Hollande. , s ' interroge M. Jégo , précisant que l ' UDI reste dans l ' opposition mais peut J ' ai peur que la nomination de M. Macron ne soit qu ' un effet médiatique .",{},,"[[439, 488, 'off']]"
77151,"Et le scalp , c ' est le retrait du barème. La bonne nouvelle , enchaîne un conseiller au coeur du dossier , c ' est que les réformistes ont fait bloc et n ' ont pas rejoint le camp du refus. Y compris la CFE-CGC dont la position était un peu flottante. Et ils ont récupéré la FAGE .",{},,"[[64, 106, 'off']]"
77152,"La droite historique espère profiter de ces tensions et récupérer certains députés déjà lassés par l ' expérience. Certains constructifs commencent à se rendre compte qu ' ils ont été les otages d ' aventures personnelles. Ceux-là , il faut leur tendre la main , a estimé Laurent Wauquiez dans Les Echos , lundi 3 juillet. En attendant , les dirigeants LR jouent la montre .",{},,[]
77153,"Après soixante-douze heures d ' échanges acerbes entre leurs camps , certains redoutaient un pugilat sur le plateau. Il n ' en a rien été. Aucun coup d ' éclat majeur n ' est venu perturber ce débat. Loin des attaques frontales qui avaient jusqu ' ici émaillé l ' entre-deux-tours .",{},,"[[69, 89, 'off']]"
77154,"Conjoncturellement parlant , on ne peut plus se le permettre. Il faut mettre le paquet sur l ' emploi et l ' économie. Le bras de fer autour de la gratuité des transports scolaires porte aussi sur le coût de cette résolution. Hormis la Loire-Atlantique , restée à gauche , les quatre conseils départementaux de droite refusent , selon M. Clergeau , de lui transmettre les éléments techniques qui permettraient d ' affiner le chiffrage du budget .",{},,[]
77155,"Chaque prétendant s ' organise. La rentrée révèle cet éparpillement. Il est normal que chacun puisse réunir son camp. Pour nous , il s ' agit de laisser passer cette séquence , admet un proche de l ' ancien chef de l ' Etat .",{},,"[[177, 223, 'off']]"
77156,"Peut-être pour être mieux soignés dans les semaines à venir. A plus long terme , la bataille de l ' héritage de Nicolas Sarkozy a commencé , et chacun rêve d ' incarner la droite populaire lors du prochain quinquennat. De son côté , l ' ancien président est énervé que certains de ses anciens collaborateurs n ' aient pas été recasés par M. Fillon , avec qui il doit déjeuner vendredi. Son irritation a peut-être désinhibé les sarkozystes .",{},,[]
77157,Peu importe que le premier secrétaire du PS soit un homme qui l ' a toujours critiqué. Peu importe que son plus proche collaborateur ait été ministre dans un gouvernement de droite. Le chef de l ' Etat disait qu ' il voulait enjamber comme si de rien n ' était les élections municipales. Elles l ' ont obligé à tout remanier .,{},,[]
77158,"Le mea culpa de la présidente Au commencement est une déception communément partagée , le score de 33,9 % des voix enregistré par Marine Le Pen , le 7 mai. C ' est certain , on s ' attendait à plus. Mais on repart , on n ' a pas le choix. Il y aura un certain nombre de choses à remettre à plat après les élections législatives de juin , estime Alain Avello , secrétaire départemental de Loire-Atlantique .",{},,[]
77159,"Dans les prochaines semaines , le premier ministre va poursuivre son travail de persuasion. Soucieux de stopper ce qu ' il considère comme une dénaturation du débat , selon un conseiller , M. Valls a prévu de multiplier les rencontres avec les parlementaires à Matignon. Au PS , ce choix soulève une inquiétude : Valls se met au milieu du champ de tir , mais il n ' est pas sûr qu ' il soit le mieux à même de rassembler la majorité , pointe un pilier du groupe socialiste à l ' Assemblée. Comme d ' habitude , Valls veut y aller à la schlague , mais le passage en force va se retourner contre lui , prédit un autre député , qui estime qu ' environ 200 des 287 membres du groupe PS pourraient faire défection lors du vote .",{},,"[[167, 186, 'off'], [435, 472, 'off'], [600, 622, 'off']]"
77160,"Le député européen Pascal Durand ( EELV ) , proche de l ' ancien animateur , l ' a encouragé à accepter. Hulot était très soulagé que quelqu ' un comme moi , qu ' on peut difficilement soupçonner d ' être macroniste , lui recommande d ' y aller , confie-t-il. Objectif à court terme Une promotion saluée , mais qui inquiète déjà certains proches du chef de l ' Etat. ­Hulot , c ' est une connerie .",{},,"[[311, 365, 'off']]"
77161,"Un ministère dont les crédits augmentent fait parfois plus d ' efforts réels d ' économies qu ' un autre dont les crédits baissent. C ' est quand même un exercice qui ne fait pas plaisir , convient M. Eckert. Quand vous êtes en train de discuter avec Marisol Touraine du nombre de crèches ou de maisons de personnes âgées , que vous êtes contraint d ' abaisser le plafond , quand on est de gauche , ce n ' est pas facile. Alors si , le lendemain , vous avez quelqu ' un qui vient défendre certaines catégories professionnelles plutôt privilégiées en disant qu ' il ne faut pas les toucher , que sur un budget de 3 ou 4 milliards , il n ' est pas possible de trouver 50 millions , il y a de quoi se mettre en colère .",{},,[]
77162,"Personne , au gouvernement , ne les avait écoutés. Or , beaucoup de leurs collègues admettent aujourd ' hui qu ' ils n ' avaient peut-être pas tort. Conclusion d ' un parlementaire socialiste : On aura passé le quinquennat à courir après nos propres erreurs. Il ne reste plus que dix-huit mois pour tenter de les corriger .",{},,"[[149, 191, 'off'], [56, 93, 'off']]"
